Nodes,Type,Measurement
AREG,Stimuli,1
BETAHISTINE,Stimuli,1
BISACODYL,Stimuli,1
CHOLESTEROL,Stimuli,1
CLENBUTEROL,Stimuli,1
EGF,Stimuli,1
FGF8,Stimuli,1
FLAST,Stimuli,1
FORSKOLIN,Stimuli,1
HIGHGLU,Stimuli,1
IFNG,Stimuli,1
IGF2,Stimuli,1
IL4,Stimuli,1
MEPYRAMINE,Stimuli,1
NORETHINDRONE,Stimuli,1
ODN2006,Stimuli,1
PDGFB,Stimuli,1
PMA,Stimuli,1
PROK2,Stimuli,1
PROMETHAZINE,Stimuli,1
SEROTONIN,Stimuli,1
SHH,Stimuli,1
TGFA,Stimuli,1
TNF,Stimuli,1
WISP3,Stimuli,1
AKT1,Phophoproteins,1
CREB1,Phophoproteins,1
PTK2,Phophoproteins,1
GSK3B,Phophoproteins,1
HSPB1,Phophoproteins,1
IKB_family,Phophoproteins,1
RPS6KA1,Phophoproteins,1
RPS6KB1,Phophoproteins,1
MAPK3,Phophoproteins,1
MAPK9,Phophoproteins,1
MAPK11,Phophoproteins,1
MAPK14,Phophoproteins,1
MAP2K1,Phophoproteins,1
MAP2K6,Phophoproteins,1
PTPN11,Phophoproteins,1
NFKB_family,Phophoproteins,1
WNK1,Phophoproteins,1
JAK1,Phophoproteins,0
IL4R,Phophoproteins,0
IL2RG,Phophoproteins,0
JAK3,Phophoproteins,0
MAPK1,Phophoproteins,0
JAK2,Phophoproteins,0
5HTR,Phophoproteins,0
ABL1,Phophoproteins,0
AC_family,Phophoproteins,0
ADR_family,Phophoproteins,0
CAMP,Phophoproteins,0
CASP1,Phophoproteins,0
CAV1,Phophoproteins,0
CD120,Phophoproteins,0
EGFR,Phophoproteins,0
FGFR_family,Phophoproteins,0
FZD1,Phophoproteins,0
GNAS,Phophoproteins,0
GRB2,Phophoproteins,0
HRH1,Phophoproteins,0
IFNGR1,Phophoproteins,0
IGF1R,Phophoproteins,0
IKK_family,Phophoproteins,0
ILK,Phophoproteins,0
INSR,Phophoproteins,0
IRAK1,Phophoproteins,0
IRAK4,Phophoproteins,0
IRS1,Phophoproteins,0
LCK,Phophoproteins,0
LRP1,Phophoproteins,0
MAP2K2,Phophoproteins,0
MAP2K3,Phophoproteins,0
MAP2K4,Phophoproteins,0
MAP2K5,Phophoproteins,0
MAP2K7,Phophoproteins,0
MAP3K1,Phophoproteins,0
MAP3K10,Phophoproteins,0
MAP3K14,Phophoproteins,0
MAP3K2,Phophoproteins,0
MAP3K3,Phophoproteins,0
MAP3K5,Phophoproteins,0
MAP3K7,Phophoproteins,0
MAPK12,Phophoproteins,0
MAPK13,Phophoproteins,0
MAPK7,Phophoproteins,0
MAPK8,Phophoproteins,0
MAPKAPK2,Phophoproteins,0
MAPKAPK3,Phophoproteins,0
MTOR,Phophoproteins,0
MYD88,Phophoproteins,0
OPNI,Phophoproteins,0
PAK1,Phophoproteins,0
PDGFR_complex,Phophoproteins,0
PDPK1,Phophoproteins,0
PGR_family,Phophoproteins,0
PI3K,Phophoproteins,0
PKA,Phophoproteins,0
PKC_family,Phophoproteins,0
PLC,Phophoproteins,0
PRKACA,Phophoproteins,0
PRKAR1A,Phophoproteins,0
PRKAR2A,Phophoproteins,0
PROKR1,Phophoproteins,0
PROKR2,Phophoproteins,0
PTCH1,Phophoproteins,0
RAF1,Phophoproteins,0
RAS,Phophoproteins,0
RIPK1,Phophoproteins,0
RPS6KB2,Phophoproteins,0
SGK1,Phophoproteins,0
SLC2A1,Phophoproteins,0
SMO,Phophoproteins,0
SOS,Phophoproteins,0
SRC,Phophoproteins,0
TLR5,Phophoproteins,0
TLR9,Phophoproteins,0
TP53,Phophoproteins,0
TRADD,Phophoproteins,0
TRAF2,Phophoproteins,0
TRAF3,Phophoproteins,0
TRAF6,Phophoproteins,0
GLI1,Phophoproteins,0
GLI2,Phophoproteins,0
STAT3,Phophoproteins,0
SMAD2,Phophoproteins,0
STAT2,Phophoproteins,0
RPS6,Phophoproteins,0
IRF7,TF,0
IRF5,TF,0
STAT1,TF,0
TCF3,TF,0
SMAD4,TF,0
JUN,TF,0
SMAD3,TF,0
ELK1,TF,0
STAT5A,TF,0
HIF1A,TF,0
CTNNB1,TF,0
RARA,TF,0
FOS,TF,0
MYC,TF,0
AR,TF,0
ESR1,TF,0
FOXO1,TF,0
FOXO3,TF,0
STAT6,TF,0
CCL20_c,Cytokine,1
CCL5_c,Cytokine,1
CRP_c,Cytokine,1
CX3CL1_c,Cytokine,1
CXCL10_c,Cytokine,1
ICAM1_c,Cytokine,1
IL10_c,Cytokine,1
IL1A_c,Cytokine,1
IL1B_c,Cytokine,1
IL6_c,Cytokine,1
NGF_c,Cytokine,1
VEGFB_c,Cytokine,1
CCL20_g,Gene,1
